Station Number,DWR Regional Office*,Name,County,Latitude,Longitude,ELEV,Status,Connect,Disconnect
138,SCRO,Famoso,Kern,35.603513,-119.212587,415,Inactive,4/9/1997,12/29/2015
139,NCRO,Winters,Solano,38.501258,-121.978528,136,Active,6/15/1998,Active
140,NCRO,Twitchell Island,Sacramento,38.121739,-121.674455,0,Active,10/8/1997,Active
141,SRO,Mecca,Riverside,33.536894,-115.992803,-180,Inactive,5/5/1998,3/11/2010
142,SCRO,Orange Cove,Fresno,36.721083,-119.389028,470,Active,1/1/1999,Active
143,SCRO,San Juan Valley,San Benito,36.822926,-121.467934,268,Active,1/1/1998,Active
144,NCRO,Petaluma,Sonoma,38.266428,-122.616464,97,Active,8/25/1999,Active
145,SCRO,Madera,Madera,37.016528,-120.186394,230,Inactive,5/13/1998,3/27/2013
146,SCRO,Belridge,Kern,35.505833,-119.691144,410,Active,10/9/1998,Active
147,SRO,Otay Lake,San Diego,32.628208,-116.939281,580,Active,4/15/1999,Active
148,SCRO,Merced,Merced,37.314139,-120.386700,200,Active,1/4/1999,Active
149,NCRO,Oakland Foothills,Alameda,37.780653,-122.180150,145,Inactive,3/25/1999,8/13/2013
150,SRO,Miramar,San Diego,32.885847,-117.143142,445,Active,4/23/1999,Active
151,SRO,Ripley,Riverside,33.532222,-114.633889,251,Active,12/19/1998,Active
152,SRO,Camarillo,Ventura,34.219386,-118.992439,130,Active,1/21/2000,Active
153,SRO,Escondido SPV,San Diego,33.081050,-116.975697,390,Active,2/1/1999,Active
154,SRO,Salton Sea North,Riverside,33.549000,-115.916000,-200,Inactive,10/15/1998,10/30/2003
155,NCRO,Bryte (Experimental),Yolo,38.599158,-121.540406,40,Active,12/10/1998,Active
156,SRO,Oxnard,Ventura,34.233639,-119.196922,48,Inactive,10/12/2001,4/27/2017
157,NCRO,Point San Pedro,Marin,37.995478,-122.467656,5,Active,10/11/2002,Active
158,NCRO,Bennett Valley,Sonoma,38.419439,-122.658719,270,Active,10/1/2000,Active
159,SRO,Monrovia,Los Angeles,34.146372,-117.985797,595,Active,10/15/1999,Active
160,SRO,San Luis Obispo West,San Luis Obispo,35.335267,-120.735652,285,Active,11/1/2000,Active
161,SCRO,Patterson,Stanislaus,37.438944,-121.138511,183,Active,8/23/1999,10/12/2017
162,SRO,Indio,Riverside,33.746000,-116.258000,40,Inactive,12/24/1999,2/26/2006
163,SRO,Atascadero,San Luis Obispo,35.472556,-120.648142,885,Active,11/21/2000,Active
164,NCRO,Valley of the Moon,Sonoma,38.312000,-122.499000,155,Inactive,4/1/2000,12/18/2001
165,SRO,Sisquoc,Santa Barbara,34.841878,-120.212736,536,Active,4/26/2000,Active
166,NCRO,Lodi West,San Joaquin,38.129641,-121.386323,11,Inactive,9/13/2000,3/20/2015
167,NCRO,Tracy,San Joaquin,37.725881,-121.475517,82,Inactive,9/1/2001,5/31/2017
168,SCRO,Denair,Stanislaus,37.552922,-120.779285,140,Inactive,8/28/2002,4/9/2009
169,SCRO,Porterville,Tulare,36.082272,-119.093178,400,Active,8/2/2000,Active
170,NCRO,Concord,Contra Costa,38.015372,-122.020278,35,Active,4/6/2001,Active
171,NCRO,Union City,Alameda,37.598758,-122.053233,16,Active,2/5/2001,Active
172,SCRO,Lost Hills NW,Kern,35.734000,-119.749000,225,Inactive,7/26/2000,7/1/2003
173,SRO,Torrey Pines,San Diego,32.901867,-117.250458,335,Active,11/29/2000,Active
174,SRO,Long Beach,Los Angeles,33.798697,-118.094792,17,Active,9/22/2000,Active
175,SRO,Palo Verde II,Imperial,33.383070,-114.719385,230,Active,1/11/2001,Active
176,SRO,La Quinta,Riverside,33.686000,-116.306000,42,Inactive,11/10/2000,9/26/2006
177,SCRO,Watsonville West,Santa Cruz,36.900000,-121.813000,212,Inactive,11/30/2000,3/22/2006
178,NCRO,Moraga,Contra Costa,37.837614,-122.140739,510,Active,2/27/2002,Active
179,SRO,Winchester,Riverside,33.663325,-117.093383,1452,Active,2/7/2002,Active
180,SRO,Westmorland West,Imperial,33.124000,-115.803000,-218,Inactive,11/8/2001,7/21/2003
181,SRO,Westmorland North,Imperial,33.080733,-115.685700,-200,Active,4/1/2004,Active
182,SCRO,Delano,Tulare,35.833059,-119.255846,300,Active,3/21/2002,Active
183,SRO,Owens Lake North,Inyo,36.488468,-117.919428,3558,Active,12/16/2002,Active
184,SRO,San Diego II,San Diego,32.729480,-117.139488,255,Active,3/1/2002,Active
185,SRO,UC-Mex,Imperial,32.411000,-115.197000,39,Inactive,1/18/2002,8/28/2002
186,SRO,UC-San Luis,Imperial,32.492658,-114.826164,93,Inactive,4/16/2002,1/25/2016
187,NCRO,Black Point ,Marin,38.090933,-122.526703,1,Active,6/1/2003,Active
188,SCRO,Madera II,Madera,37.016760,-120.148802,242,Inactive,3/27/2013,6/23/2018
189,SRO,Owens Lake South,Inyo,36.358628,-117.943869,3564,Active,4/1/2003,Active
190,SCRO,Five Points South West,Fresno,36.382028,-120.229850,270,Inactive,7/2/2003,12/4/2019
191,NCRO,Pleasanton,Alameda,37.663969,-121.885033,335,Active,5/1/2004,Active
192,SRO,Lake Arrowhead,San Bernardino,34.255980,-117.218463,5148,Active,3/20/2004,Active
193,SCRO,Pacific Grove,Monterey,36.633240,-121.934847,38,Active,10/26/2011,Active
194,SCRO,Oakdale,Stanislaus,37.720739,-120.852101,183,Active,11/2/2004,Active
195,NCRO,Auburn,Placer,38.887603,-121.102908,935,Active,2/16/2005,Active
196,NCRO,Esparto,Yolo,38.691786,-122.013808,174,Inactive,4/15/2005,7/15/2017
197,SRO,Palmdale,Los Angeles,34.614981,-118.032492,2550,Active,4/6/2005,Active
198,SRO,Santa Paula,Ventura,34.324639,-119.104875,218,Active,3/30/2005,Active
199,SRO,Big Bear Lake,San Bernardino,34.237645,-116.865853,6910,Active,7/19/2005,Active
200,SRO,Indio II,Riverside,33.748586,-116.252903,40,Active,5/16/2006,Active
201,SRO,UC-Andrade,Imperial,32.674353,-115.044381,120,Inactive,1/1/2006,10/1/2015
202,SRO,Nipomo,San Luis Obispo,35.028281,-120.560033,255,Active,6/27/2006,Active
203,SCRO,Alpaugh,Tulare,35.862569,-119.503700,210,Active,7/11/2006,11/16/2017
204,SRO,Santa Clarita,Los Angeles,34.426361,-118.517583,1410,Active,12/4/2006,Active
205,SCRO,Coalinga,Fresno,36.175833,-120.360270,730,Active,3/25/2010,Active
206,SCRO,Denair II,Stanislaus,37.545869,-120.754531,150,Active,4/9/2009,Active
207,SRO,Borrego Springs ,San Diego,33.268447,-116.365050,578,Active,1/4/2008,Active
208,SRO,La Quinta II,Riverside,33.678151,-116.272921,36,Active,2/6/2007,Active
209,SCRO,Watsonville West II,Santa Cruz,36.913166,-121.823497,305,Active,6/13/2007,Active
210,SCRO,Carmel,Monterey,36.540942,-121.882096,75,Active,7/22/2008,Active
211,SCRO,Gilroy,Santa Clara,37.015026,-121.537043,185,Active,9/1/2009,Active
212,NCRO,Hastings Tract East,Solano,38.277972,-121.740989,7,Active,10/20/2009,Active
213,NCRO,El Cerrito,Contra Costa,37.931547,-122.302714,596,Active,9/24/2013,Active
214,SCRO,Salinas South II,Monterey,36.625626,-121.537887,153,Active,5/17/2013,Active
215,SRO,Chatsworth,Los Angeles,34.291331,-118.570044,1536,Active,9/6/2011,Active
216,SRO,Arleta,Los Angeles,34.256150,-118.382905,980,Active,9/8/2011,Active
217,SRO,Moorpark,Ventura,34.269031,-118.849319,718,Active,7/3/2014,Active
218,SRO,Thermal South,Riverside,33.595736,-116.158761,-146,Active,1/30/2010,Active
219,SRO,West Hills,Los Angeles,34.214197,-118.644769,926,Active,9/6/2011,Active
220,SRO,Palmdale Central,Los Angeles,34.592310,-118.127464,2630,Active,3/23/2011,Active
221,SRO,Cadiz Valley,San Bernardino,34.513611,-115.510556,797,Active,11/1/2010,Active
222,NRO,Gerber South,Tehama,40.028778,-122.155750,246,Active,8/13/2014,Active
223,SRO,North Hollywood,Los Angeles,34.142911,-118.366320,570,Inactive,1/30/2018,Active
224,NRO,Shasta College,Shasta,40.625499,-122.310887,592,Active,1/1/2013,Active
225,NRO,Scott Valley,Siskiyou,41.577778,-122.838125,2733,Active,4/1/2015,Active
226,NCRO,Woodland,Yolo,38.672722,-121.811722,82,Active,5/12/2011,Active
