,AcresBurned,Started,Latitude,Longitude,precip,max_temp,min_hum,avg_wind,fires_last_year
276,5646.0,2016-06-28,38.96741,-120.9375,0.3736666666666667,2675.186666666666,726.8166666666667,108.26,2
277,5443.0,2016-09-17,37.75985,-118.95308999999999,0.016,2767.923333333333,427.1166666666667,90.32333333333335,1
278,5399.0,2016-06-20,34.196397999999995,-118.26186200000001,0.313,2236.4016666666666,1423.9000000000005,113.93,3
279,4824.0,2016-11-14,34.31,-118.335,0.2215,2651.926666666666,777.6,96.81166666666667,6
280,4474.0,2016-09-26,37.106320000000004,-121.85318000000001,0.08716666666666667,2277.393333333334,1484.0666666666666,82.09666666666666,4
281,4347.0,2016-10-29,35.984,-118.551,0.0,888.4033333333332,184.9666666666667,33.01500000000001,3
282,3929.0,2016-08-13,38.89741,-122.60663999999998,0.0055000000000000005,2620.93,1065.9666666666667,115.25166666666668,5
283,3876.0,2016-05-22,36.38123,-121.20058999999999,0.015666666666666666,2225.3049999999994,1434.9666666666667,206.88499999999996,1
284,3712.0,2016-05-18,35.385224,-120.447544,0.6421666666666668,2246.086666666666,1213.0666666666668,89.525,1
285,2944.0,2016-07-01,36.0749,-120.452041,0.07366666666666666,2801.5666666666666,544.6666666666666,180.65333333333334,3
286,2860.0,2016-06-07,41.623000000000005,-123.557,0.8095000000000001,2353.463333333333,1039.0166666666664,108.11833333333333,1
287,2819.0,2016-08-04,37.915836,-118.87516699999999,0.187,2948.563333333332,448.3,93.26666666666668,1
288,2652.0,2016-09-17,41.2649,-120.3178,0.13449999999999998,2506.761666666666,479.4000000000001,125.54333333333334,1
289,2575.0,2016-09-11,40.3915,-120.7845,0.0,2793.648333333333,296.45,143.00333333333336,1
290,2520.0,2016-06-04,36.01542,-121.25028999999999,0.0405,2448.0100000000007,939.1999999999999,203.41999999999996,2
291,2304.0,2016-06-30,34.701,-119.14399999999999,0.0,2339.8466666666673,1768.283333333333,109.49166666666666,2
292,2241.0,2016-07-30,37.01591,-119.50506999999999,0.016,2948.0683333333336,480.59999999999997,168.8416666666667,7
